playerid,activity_date,purchases,gameends
21144607,2017-04-20,0,9
7008056,2017-04-20,0,12
6574765,2017-04-20,0,12
31019629,2017-04-20,0,10
40016649,2017-04-20,0,9
9345998,2017-04-20,0,10
19414038,2017-04-20,0,6
43228633,2017-04-20,0,4
5774767,2017-04-20,0,11
14016363,2017-04-20,0,13
26050399,2017-04-20,0,13
33037149,2017-04-20,0,13
27187505,2017-04-20,0,6
39227289,2017-04-20,0,9
23028328,2017-04-20,0,15
25062623,2017-04-20,0,7
26952204,2017-04-20,0,7
22296612,2017-04-20,0,11
14419140,2017-04-20,0,10
25415136,2017-04-20,0,10
25025053,2017-04-20,0,26
1342353,2017-04-20,0,6
23294063,2017-04-20,0,14
19115282,2017-04-20,0,16
31454587,2017-04-20,0,10
28082930,2017-04-20,0,10
26270842,2017-04-20,0,8
6408587,2017-04-20,0,16
47009711,2017-04-20,0,10
37081010,2017-04-20,0,10
8024700,2017-04-20,0,9
12525009,2017-04-20,0,12
10098657,2017-04-20,0,14
40050587,2017-04-20,0,12
19460528,2017-04-20,0,10
16079942,2017-04-20,0,11
36135557,2017-04-20,0,6
41250380,2017-04-20,0,8
25250824,2017-04-20,0,10
36519912,2017-04-20,0,5
5535598,2017-04-20,0,12
19263393,2017-04-20,0,20
21161121,2017-04-20,0,7
14833106,2017-04-20,0,8
18433899,2017-04-20,0,13
5421431,2017-04-20,0,8
22020670,2017-04-20,0,80
20441829,2017-04-20,0,15
2766676,2017-04-20,0,15
12464034,2017-04-20,0,10
20701342,2017-04-20,0,10
31341795,2017-04-20,0,10
47035587,2017-04-20,0,4
14299830,2017-04-20,0,16
14441293,2017-04-20,7,15
19058939,2017-04-20,0,11
23138327,2017-04-20,0,6
31199307,2017-04-20,0,15
19808592,2017-04-20,0,8
16315824,2017-04-20,0,8
13263339,2017-04-20,0,6
43172873,2017-04-20,0,11
13091786,2017-04-20,0,16
18022055,2017-04-20,0,5
10764410,2017-04-20,0,11
36118391,2017-04-20,0,7
13041933,2017-04-20,0,14
28334167,2017-04-20,0,13
13004243,2017-04-20,0,14
30228318,2017-04-20,0,7
9338400,2017-04-20,0,10
47214148,2017-04-20,0,13
9019840,2017-04-20,0,12
9650467,2017-04-20,0,21
2300229,2017-04-20,0,11
30105072,2017-04-20,0,11
28047405,2017-04-20,0,7
12054003,2017-04-20,0,15
43392926,2017-04-20,0,12
47308388,2017-04-20,0,9
47159931,2017-04-20,0,17
953595,2017-04-20,0,20
27252529,2017-04-20,0,12
47207588,2017-04-20,0,3
21711570,2017-04-20,0,13
8584144,2017-04-20,0,9
18389823,2017-04-20,0,2
36150477,2017-04-20,0,61
22885840,2017-04-20,0,7
6547514,2017-04-20,0,11
47062514,2017-04-20,0,8
7397357,2017-04-20,0,10
14987562,2017-04-20,0,12
6094778,2017-04-20,0,14
11940121,2017-04-20,0,8
41278491,2017-04-20,0,23
30017042,2017-04-20,0,8
5091517,2017-04-20,0,19
14015971,2017-04-20,0,11
47154413,2017-04-20,0,8
44080157,2017-04-20,0,20
30213094,2017-04-20,0,17
37048575,2017-04-20,0,5
7141766,2017-04-20,0,8
19398288,2017-04-20,0,11
6153502,2017-04-20,0,32
33106001,2017-04-20,0,18
26066889,2017-04-20,0,11
30042562,2017-04-20,0,7
47010692,2017-04-20,0,16
41358340,2017-04-20,0,4
37453959,2017-04-20,0,10
7665553,2017-04-20,0,22
43054493,2017-04-20,0,8
31088448,2017-04-20,0,5
1795147,2017-04-20,0,8
8466603,2017-04-20,0,26
44160344,2017-04-20,0,14
36011132,2017-04-20,0,15
31039350,2017-04-20,0,3
24183886,2017-04-20,0,5
19544694,2017-04-20,0,11
1133806,2017-04-20,0,18
30379062,2017-04-20,0,10
27040137,2017-04-20,0,12
25697046,2017-04-20,0,9
6210218,2017-04-20,0,4
13222433,2017-04-20,0,4
203334,2017-04-20,0,10
4096436,2017-04-20,0,6
33395285,2017-04-20,0,9
5005702,2017-04-20,0,8
37011126,2017-04-20,0,12
7345167,2017-04-20,0,9
28650261,2017-04-20,0,5
7038645,2017-04-20,0,8
30102789,2017-04-20,0,10
27005782,2017-04-20,0,30
36428448,2017-04-20,0,31
10251954,2017-04-20,0,14
6087924,2017-04-20,0,10
31001156,2017-04-20,0,6
14604850,2017-04-20,0,16
40119552,2017-04-20,0,9
31060850,2017-04-20,0,5
30596442,2017-04-20,0,17
20131006,2017-04-20,0,11
6354490,2017-04-20,0,19
15875231,2017-04-20,0,2
24140030,2017-04-20,0,7
44037341,2017-04-20,0,9
10291095,2017-04-20,0,13
14297217,2017-04-20,0,28
8481681,2017-04-20,0,8
28115327,2017-04-20,0,8
9771855,2017-04-20,0,13
19882376,2017-04-20,0,7
47134305,2017-04-20,0,20
41055960,2017-04-20,0,7
11026820,2017-04-20,0,3
8927040,2017-04-20,0,8
28328300,2017-04-20,0,29
8982036,2017-04-20,0,13
6167241,2017-04-20,0,9
22097211,2017-04-20,0,44
39061742,2017-04-20,0,12
12123991,2017-04-20,0,7
20693134,2017-04-20,0,16
40008108,2017-04-20,0,15
11364076,2017-04-20,0,8
18442836,2017-04-20,0,15
18046317,2017-04-20,0,8
4131256,2017-04-20,0,12
39140181,2017-04-20,0,9
9144197,2017-04-20,0,4
23268053,2017-04-20,0,53
33259500,2017-04-20,0,4
47452908,2017-04-20,0,41
8112913,2017-04-20,0,34
16340451,2017-04-20,0,9
30297864,2017-04-20,0,9
14634343,2017-04-20,0,7
20304946,2017-04-20,0,11
14176435,2017-04-20,0,27
20003010,2017-04-20,0,12
17454898,2017-04-20,0,13
23547802,2017-04-20,0,6
43158530,2017-04-20,0,4
33122694,2017-04-20,0,12
22291493,2017-04-20,0,17
39135590,2017-04-20,0,17
37264595,2017-04-20,0,10
19978746,2017-04-20,0,5
28006616,2017-04-20,4,32
15075269,2017-04-20,0,14
18060523,2017-04-20,0,18
22087740,2017-04-20,0,9
