activity_date,playerid
2017-04-20,197705
2017-04-22,197705
2017-05-10,197705
2017-05-21,197705
2017-05-22,197705
2017-05-11,197705
2017-04-23,197705
2017-05-17,197705
2017-05-04,197705
2017-04-25,197705
2017-05-07,197705
2017-05-05,197705
2017-05-02,197705
2017-05-12,197705
2017-05-01,197705
2017-04-24,197705
2017-04-30,197705
2017-05-14,197705
2017-04-21,197705
2017-05-08,197705
2017-05-06,197705
2017-05-16,197705
2017-04-27,197705
2017-05-20,197705
2017-04-29,197705
2017-05-09,197705
2017-05-19,197705
2017-05-18,197705
2017-05-18,490596
2017-04-30,490596
2017-04-22,490596
2017-05-14,490596
2017-05-13,490596
2017-04-20,490596
2017-05-20,490596
2017-05-10,490596
2017-05-12,490596
2017-04-28,490596
2017-05-04,490596
2017-05-15,490596
2017-04-25,490596
2017-05-06,490596
2017-05-08,490596
2017-05-01,490596
2017-05-21,490596
2017-04-21,490596
2017-05-17,490596
2017-05-09,490596
2017-04-29,490596
2017-05-22,490596
2017-04-23,490596
2017-05-11,490596
2017-05-16,490596
2017-05-19,490596
2017-05-02,490596
2017-05-03,490596
2017-05-07,490596
2017-04-24,490596
2017-05-22,37062839
2017-04-27,37062839
2017-04-28,37062839
2017-05-05,37062839
2017-05-16,37062839
2017-04-25,37062839
2017-04-26,37062839
2017-05-18,37062839
2017-05-20,37062839
2017-04-23,37062839
2017-05-02,37062839
2017-04-22,37062839
2017-04-30,37062839
2017-05-17,37062839
2017-05-08,37062839
2017-05-11,37062839
2017-05-10,37062839
2017-05-14,37062839
2017-05-07,37062839
2017-04-24,37062839
2017-05-12,37062839
2017-05-19,37062839
2017-05-03,37062839
2017-04-20,37062839
2017-05-15,37062839
2017-05-09,37062839
2017-05-01,37062839
2017-05-21,37062839
2017-04-29,37062839
2017-05-04,37062839
2017-04-28,44008827
2017-04-30,44008827
2017-05-04,44008827
2017-04-24,44008827
2017-05-02,44008827
2017-05-22,44008827
2017-05-16,44008827
2017-04-27,44008827
2017-05-08,44008827
2017-04-22,44008827
2017-05-03,44008827
2017-04-20,44008827
2017-05-12,44008827
2017-05-17,44008827
2017-04-25,44008827
2017-05-10,44008827
2017-05-15,44008827
2017-05-21,44008827
2017-05-06,44008827
2017-05-14,44008827
2017-05-13,44008827
2017-05-19,44008827
2017-05-09,44008827
2017-05-20,44008827
2017-05-05,44008827
2017-04-29,44008827
2017-05-01,44008827
2017-05-11,44008827
2017-05-18,44008827
2017-05-21,50010174
2017-05-12,50010174
2017-05-13,50010174
2017-05-20,50010174
2017-05-22,50010174
2017-05-14,50010174
2017-05-18,50010174
2017-05-16,50010174
2017-05-11,50010174
